Unnamed: 0,key,fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count
24238194,2015-05-07 19:52:06.0000003,7.5,2015-05-07 19:52:06 UTC,-73.99981689453125,40.73835372924805,-73.99951171875,40.72321701049805,1
55085966,2014-02-18 14:26:00.00000070,10.5,2014-02-18 14:26:00 UTC,-73.98002199999999,40.74599,-74.00343199999999,40.759667,1
51671648,2010-04-01 14:42:00.000000160,15.7,2010-04-01 14:42:00 UTC,-73.97336,40.786952,-73.97281,40.743548,1
48399259,2015-06-17 17:52:03.0000007,9.0,2015-06-17 17:52:03 UTC,-73.97213745117188,40.7498893737793,-73.98185729980467,40.73242568969727,1
29152955,2015-05-28 13:31:03.0000006,11.0,2015-05-28 13:31:03 UTC,-73.96671295166014,40.80403518676758,-73.93840026855469,40.79726791381836,1
29350780,2014-02-19 18:02:00.00000011,9.0,2014-02-19 18:02:00 UTC,-73.95828,40.7689,-73.97351,40.782907,5
17358122,2010-08-20 19:39:48.0000003,6.5,2010-08-20 19:39:48 UTC,0.0,0.0,0.0,0.0,1
33481580,2014-04-21 20:40:00.00000077,7.5,2014-04-21 20:40:00 UTC,-73.976543,40.788207,-73.954575,40.777842,1
17180598,2009-09-08 20:54:13.0000005,4.9,2009-09-08 20:54:13 UTC,-73.97646999999999,40.735987,-73.981563,40.728817,1
53047121,2011-06-17 21:30:00.00000012,7.7,2011-06-17 21:30:00 UTC,-73.977147,40.789653,-73.954115,40.773782,5
12508194,2012-03-22 07:14:24.0000002,6.1,2012-03-22 07:14:24 UTC,-73.965017,40.764308,-73.98105699999999,40.760887,1
55118441,2013-12-19 14:45:00.0000002,9.5,2013-12-19 14:45:00 UTC,-73.978083,40.788452,-73.979435,40.771332,1
12938380,2011-01-14 19:51:00.000000221,12.9,2011-01-14 19:51:00 UTC,-73.992457,40.72877,-73.9608,40.7782,1
25386278,2009-07-23 18:45:00.000000205,10.5,2009-07-23 18:45:00 UTC,-73.969433,40.757445,-73.992628,40.737392,1
8758303,2014-11-03 12:57:37.0000001,7.5,2014-11-03 12:57:37 UTC,-73.98042099999999,40.720552000000005,-73.984562,40.729687,1
29569353,2009-08-14 17:30:14.0000002,9.3,2009-08-14 17:30:14 UTC,-73.987011,40.776157,-73.994649,40.750440000000005,1
