Unnamed: 0,customer_id,product,signup_date_time
1,C2448,prd_1,2017-01-01 10:35:09
51,C2498,prd_1,2017-01-02 13:40:10
101,C2548,prd_1,2017-01-03 12:51:13
151,C2598,prd_1,2017-01-04 12:30:32
201,C2648,prd_1,2017-01-05 12:07:53
251,C2698,prd_1,2017-01-06 13:48:06
301,C2748,prd_1,2017-01-09 10:57:49
351,C2798,prd_1,2017-01-10 09:36:06
401,C2848,prd_2,2017-01-10 14:52:51
451,C2898,prd_1,2017-01-11 13:45:24
501,C2948,prd_1,2017-01-12 13:22:04
551,C2998,prd_1,2017-01-14 11:59:49
601,C3048,prd_1,2017-01-16 11:40:43
651,C3098,prd_1,2017-01-17 10:47:03
701,C3148,prd_1,2017-01-18 10:14:00
751,C3198,prd_1,2017-01-19 09:30:47
801,C3248,prd_1,2017-01-20 07:36:16
851,C3298,prd_1,2017-01-21 11:03:37
901,C3348,prd_2,2017-01-23 11:15:38
951,C3398,prd_1,2017-01-24 10:25:02
1001,C3448,prd_1,2017-01-24 13:49:02
1051,C3498,prd_1,2017-01-25 13:07:48
1101,C3548,prd_1,2017-01-26 13:11:19
1151,C3598,prd_1,2017-01-27 13:54:05
1201,C3648,prd_2,2017-01-30 10:26:06
1251,C3698,prd_1,2017-01-31 10:08:44
1301,C3748,prd_1,2017-01-31 14:44:18
1351,C3798,prd_1,2017-02-02 08:14:22
1401,C3848,prd_1,2017-02-02 13:19:38
1451,C3898,prd_2,2017-02-03 13:21:26
1501,C3948,prd_2,2017-02-06 10:34:29
1551,C3998,prd_2,2017-02-06 16:05:34
1601,C4048,prd_1,2017-02-07 12:46:53
1651,C4098,prd_1,2017-02-08 12:15:43
1701,C4148,prd_1,2017-02-09 11:13:22
1751,C4198,prd_1,2017-02-10 11:49:36
1801,C4248,prd_2,2017-02-12 12:52:21
1851,C4298,prd_1,2017-02-13 13:07:35
1901,C4348,prd_1,2017-02-14 12:48:32
1951,C4398,prd_1,2017-02-15 11:55:46
2001,C4448,prd_1,2017-02-16 11:57:06
2051,C4498,prd_1,2017-02-17 13:01:43
2101,C4548,prd_1,2017-02-20 10:36:59
2151,C4598,prd_1,2017-02-20 14:35:37
2201,C4648,prd_1,2017-02-21 15:23:38
2251,C4698,prd_1,2017-02-23 09:43:05
2301,C4748,prd_1,2017-02-23 15:29:54
2351,C4798,prd_1,2017-02-25 10:26:55
2401,C4848,prd_1,2017-02-27 12:10:23
2451,C4898,prd_1,2017-02-28 11:34:16
2501,C4948,prd_1,2017-03-01 10:26:25
2551,C4998,prd_1,2017-03-02 08:48:32
2601,C5048,prd_2,2017-03-02 14:01:00
