Unnamed: 0,case_id,date_time,customer_id,channel,reason
1,CC101,2017-01-01 10:32:03,C2448,phone,signup
34,CC134,2017-01-02 12:18:54,C2481,phone,signup
67,CC167,2017-01-03 09:32:44,C2514,phone,signup
100,CC200,2017-01-03 12:45:09,C2547,phone,signup
133,CC233,2017-01-04 10:51:56,C2579,phone,signup
166,CC266,2017-01-04 15:40:52,C2612,phone,signup
199,CC299,2017-01-05 11:51:27,C2645,phone,signup
232,CC332,2017-01-06 10:44:15,C2679,phone,signup
265,CC365,2017-01-07 11:52:19,C132438,phone,support
298,CC398,2017-01-09 10:09:12,C2740,phone,signup
331,CC431,2017-01-09 12:43:40,C2773,phone,signup
364,CC464,2017-01-10 10:18:25,C2806,phone,signup
397,CC497,2017-01-10 13:12:17,C2839,phone,signup
430,CC530,2017-01-11 11:18:45,C2872,phone,signup
463,CC563,2017-01-11 14:41:56,C2903,phone,signup
496,CC596,2017-01-12 12:12:57,C2934,phone,signup
529,CC629,2017-01-13 10:00:27,C2966,phone,signup
562,CC662,2017-01-14 10:58:23,C2997,phone,signup
595,CC695,2017-01-16 09:08:44,C3026,phone,signup
628,CC728,2017-01-16 12:19:56,C3059,phone,signup
661,CC761,2017-01-17 10:08:40,C3090,phone,signup
694,CC794,2017-01-17 12:43:19,C3122,phone,signup
727,CC827,2017-01-18 10:43:00,C3155,phone,signup
760,CC860,2017-01-18 15:02:40,C3187,phone,signup
793,CC893,2017-01-19 12:22:05,C3218,phone,signup
826,CC926,2017-01-20 08:40:28,C3250,phone,signup
859,CC959,2017-01-20 12:47:38,C3282,phone,signup
892,CC992,2017-01-21 17:38:29,C132774,phone,support
925,CC1025,2017-01-23 10:44:15,C3339,phone,signup
958,CC1058,2017-01-23 13:34:10,C3372,phone,signup
991,CC1091,2017-01-24 11:08:20,C3403,phone,signup
1024,CC1124,2017-01-24 12:44:40,C3433,phone,signup
1057,CC1157,2017-01-25 09:09:00,C3463,phone,signup
1090,CC1190,2017-01-25 12:25:57,C3492,phone,signup
1123,CC1223,2017-01-26 10:49:53,C3523,phone,signup
1156,CC1256,2017-01-26 14:26:42,C3553,phone,signup
1189,CC1289,2017-01-27 12:30:30,C3585,phone,signup
1222,CC1322,2017-01-28 11:39:52,C3614,phone,signup
1255,CC1355,2017-01-30 09:36:09,C3644,phone,signup
1288,CC1388,2017-01-30 12:37:27,C3673,phone,signup
1321,CC1421,2017-01-31 10:50:31,C3705,phone,signup
1354,CC1454,2017-01-31 13:53:38,C3737,phone,signup
1387,CC1487,2017-02-01 11:03:03,C3767,phone,signup
1420,CC1520,2017-02-02 08:09:35,C3798,phone,signup
1453,CC1553,2017-02-02 12:03:11,C3830,phone,signup
1486,CC1586,2017-02-02 14:25:26,C3862,phone,signup
1519,CC1619,2017-02-03 12:30:30,C3891,phone,signup
1552,CC1652,2017-02-04 11:33:18,C3918,phone,signup
1585,CC1685,2017-02-05 17:09:52,C132181,phone,support
1618,CC1718,2017-02-06 12:02:46,C3973,phone,signup
1651,CC1751,2017-02-06 16:33:27,C4000,phone,signup
1684,CC1784,2017-02-07 11:28:44,C4033,phone,signup
1717,CC1817,2017-02-07 13:41:48,C4064,phone,signup
1750,CC1850,2017-02-08 11:28:17,C4091,phone,signup
1783,CC1883,2017-02-08 14:19:31,C4124,phone,signup
1816,CC1916,2017-02-09 11:33:59,C4153,phone,signup
1849,CC1949,2017-02-09 15:04:23,C4182,phone,signup
1882,CC1982,2017-02-10 12:46:48,C4210,phone,signup
1915,CC2015,2017-02-11 14:22:24,C132079,phone,support
1948,CC2048,2017-02-13 10:29:42,C4265,phone,signup
1981,CC2081,2017-02-13 12:52:16,C4297,phone,signup
2014,CC2114,2017-02-14 10:25:41,C4329,phone,signup
2047,CC2147,2017-02-14 13:37:38,C4360,phone,signup
2080,CC2180,2017-02-15 11:15:44,C4389,phone,signup
2113,CC2213,2017-02-15 14:13:17,C4417,phone,signup
2146,CC2246,2017-02-16 11:39:44,C4444,phone,signup
2179,CC2279,2017-02-17 10:08:58,C4475,phone,signup
2212,CC2312,2017-02-17 14:42:51,C4505,phone,signup
2245,CC2345,2017-02-19 12:00:03,C4411,phone,support
2278,CC2378,2017-02-20 10:45:45,C4554,phone,signup
2311,CC2411,2017-02-20 13:15:59,C4587,phone,signup
2344,CC2444,2017-02-21 11:34:25,C4617,phone,signup
2377,CC2477,2017-02-21 14:52:11,C4646,phone,signup
2410,CC2510,2017-02-22 12:30:19,C4676,phone,signup
2443,CC2543,2017-02-23 10:22:12,C4702,phone,signup
2476,CC2576,2017-02-23 12:47:45,C4730,phone,signup
2509,CC2609,2017-02-24 10:34:08,C4760,phone,signup
2542,CC2642,2017-02-24 14:32:20,C4789,phone,signup
2575,CC2675,2017-02-26 08:21:35,C4810,phone,signup
2608,CC2708,2017-02-27 10:50:41,C4832,phone,signup
2641,CC2741,2017-02-27 13:31:38,C4863,phone,signup
2674,CC2774,2017-02-28 10:42:43,C4891,phone,signup
2707,CC2807,2017-02-28 13:37:27,C4923,phone,signup
2740,CC2840,2017-03-01 11:34:35,C4954,phone,signup
2773,CC2873,2017-03-01 14:05:29,C4984,phone,signup
2806,CC2906,2017-03-02 09:53:10,C5009,phone,signup
2839,CC2939,2017-03-02 12:22:17,C5040,phone,signup
2872,CC2972,2017-03-03 10:47:56,C5067,phone,signup
2905,CC3005,2017-03-03 14:49:32,C5095,phone,signup
2938,CC3038,2017-03-05 12:03:30,C5111,phone,signup
2971,CC3071,2017-03-06 11:04:40,C5139,phone,signup
3004,CC3104,2017-03-06 12:30:55,C5169,phone,signup
3037,CC3137,2017-03-06 16:54:07,C132961,phone,support
3070,CC3170,2017-03-07 11:57:04,C5223,phone,signup
3103,CC3203,2017-03-07 15:54:15,C5250,phone,signup
3136,CC3236,2017-03-08 11:55:07,C5280,phone,signup
3169,CC3269,2017-03-08 15:18:05,C133079,phone,support
3202,CC3302,2017-03-09 11:19:41,C5338,phone,signup
3235,CC3335,2017-03-09 15:38:42,C136208,phone,support
3268,CC3368,2017-03-10 12:35:37,C5392,phone,signup
3301,CC3401,2017-03-11 12:45:58,C132727,phone,support
3334,CC3434,2017-03-13 09:56:56,C5441,phone,signup
3367,CC3467,2017-03-13 12:49:47,C5472,phone,signup
3400,CC3500,2017-03-14 10:00:48,C5501,phone,signup
3433,CC3533,2017-03-14 12:43:36,C5530,phone,signup
3466,CC3566,2017-03-15 09:59:47,C5552,phone,signup
3499,CC3599,2017-03-15 12:31:53,C5581,phone,signup
3532,CC3632,2017-03-15 17:20:48,C5609,phone,signup
3565,CC3665,2017-03-16 11:47:19,C5637,phone,signup
3598,CC3698,2017-03-17 08:26:25,C5663,phone,signup
3631,CC3731,2017-03-17 12:24:48,C5694,phone,signup
3664,CC3764,2017-03-18 10:24:51,C5716,phone,signup
3697,CC3797,2017-03-20 08:26:39,C5738,phone,signup
3730,CC3830,2017-03-20 11:38:51,C5767,phone,signup
3763,CC3863,2017-03-20 13:26:02,C132293,phone,support
3796,CC3896,2017-03-21 10:21:18,C5823,phone,signup
3829,CC3929,2017-03-21 12:34:57,C5852,phone,signup
3862,CC3962,2017-03-22 10:10:42,C5880,phone,signup
3895,CC3995,2017-03-22 12:30:10,C5911,phone,signup
3928,CC4028,2017-03-23 09:44:04,C137618,phone,support
3961,CC4061,2017-03-23 12:50:00,C5966,phone,signup
3994,CC4094,2017-03-24 07:42:06,C5988,phone,signup
4027,CC4127,2017-03-24 13:02:47,C6018,phone,signup
