Unnamed: 0,customer_id,age,gender
1,C2448,76,female
51,C2498,59,female
101,C2548,59,female
151,C2598,60,male
201,C2648,33,male
251,C2698,44,female
301,C2748,69,female
351,C2798,68,male
401,C2848,78,male
451,C2898,53,female
501,C2948,69,male
551,C2998,69,male
601,C3048,59,male
651,C3098,45,female
701,C3148,42,male
751,C3198,59,female
801,C3248,67,male
851,C3298,61,female
901,C3348,67,female
951,C3398,44,female
1001,C3448,59,female
1051,C3498,59,male
1101,C3548,75,male
1151,C3598,47,female
1201,C3648,52,female
1251,C3698,54,male
1301,C3748,44,female
1351,C3798,56,female
1401,C3848,60,male
1451,C3898,36,female
1501,C3948,68,male
1551,C3998,50,female
1601,C4048,61,male
1651,C4098,51,male
1701,C4148,66,male
1751,C4198,65,female
1801,C4248,74,male
1851,C4298,52,female
1901,C4348,28,female
1951,C4398,69,male
2001,C4448,61,female
2051,C4498,66,male
2101,C4548,57,male
2151,C4598,63,female
2201,C4648,61,male
2251,C4698,68,male
2301,C4748,53,male
2351,C4798,64,male
2401,C4848,48,female
2451,C4898,37,male
2501,C4948,50,male
2551,C4998,55,male
2601,C5048,57,male
2651,C5098,50,female
2701,C5148,61,female
2751,C5198,46,male
2801,C5248,41,female
2851,C5298,50,male
2901,C5348,36,male
2951,C5398,39,male
3001,C5448,60,female
3051,C5498,45,male
3101,C5548,63,male
3151,C5598,75,male
3201,C5648,46,female
3251,C5698,58,male
3301,C5748,59,female
3351,C5798,54,male
3401,C5848,53,female
3451,C5898,50,male
3501,C5948,75,male
3551,C5998,57,female
3601,C6048,58,male
3651,C6098,50,female
3701,C6148,61,male
3751,C6198,60,male
3801,C6248,49,male
3851,C6298,69,male
3901,C6348,72,male
3951,C6398,58,female
4001,C6448,60,male
4051,C6498,63,female
4101,C6548,75,male
4151,C6598,43,male
4201,C6648,50,female
4251,C6698,62,male
4301,C6748,51,female
4351,C6798,69,female
4401,C6848,61,male
4451,C6898,51,female
4501,C6948,33,female
4551,C6998,68,female
4601,C7048,62,female
4651,C7098,59,male
4701,C7148,61,female
4751,C7198,64,male
4801,C7248,51,female
4851,C7298,68,female
4901,C7348,45,female
4951,C7398,59,female
5001,C7448,55,male
5051,C7498,60,male
5101,C7548,50,male
5151,C7598,45,male
5201,C7648,65,male
5251,C7698,63,female
5301,C7748,50,male
5351,C7798,68,female
5401,C7848,50,male
5451,C7898,59,male
5501,C7948,46,female
5551,C7998,57,female
5601,C8048,38,female
5651,C8098,63,female
5701,C8148,62,female
5751,C8198,54,female
5801,C8248,60,female
5851,C8298,59,male
5901,C8348,64,male
5951,C8398,70,male
6001,C8448,54,male
6051,C8498,53,male
6101,C8548,57,male
6151,C8598,67,female
6201,C8648,48,female
6251,C8698,47,male
6301,C8748,65,female
6351,C8798,59,male
6401,C8848,52,female
6451,C8898,48,male
6501,C8948,73,female
6551,C8998,70,male
6601,C9048,50,female
6651,C9098,64,male
6701,C9148,61,male
6751,C9198,58,female
6801,C9248,76,male
6851,C9298,37,male
6901,C9348,65,male
6951,C9398,76,female
7001,C9448,61,female
7051,C9498,56,female
7101,C9548,52,male
7151,C9598,51,male
7201,C9648,67,female
7251,C9698,44,female
7301,C9748,51,male
7351,C9798,66,female
7401,C9848,46,female
7451,C9898,56,male
7501,C9948,55,female
7551,C9998,61,female
7601,C10048,58,female
7651,C10098,65,male
7701,C10148,59,male
7751,C10198,73,female
7801,C10248,69,male
7851,C10298,50,male
7901,C10348,60,female
7951,C10398,44,male
8001,C10448,38,female
8051,C10498,55,male
8101,C10548,48,female
8151,C10598,42,male
8201,C10648,66,male
8251,C10698,50,male
8301,C10748,76,male
8351,C10798,43,male
8401,C10848,70,female
8451,C10898,47,male
8501,C10948,70,male
8551,C10998,68,female
8601,C11048,53,male
8651,C11098,54,male
8701,C11148,57,male
8751,C11198,41,female
8801,C11248,71,female
8851,C11298,58,male
8901,C11348,73,male
8951,C11398,34,female
9001,C11448,61,male
9051,C11498,48,female
9101,C11548,44,male
9151,C11598,50,male
9201,C11648,63,female
9251,C11698,71,male
9301,C11748,62,female
9351,C11798,50,male
9401,C11848,49,female
9451,C11898,56,male
9501,C11948,53,male
9551,C11998,70,male
9601,C12048,63,male
9651,C12098,40,female
9701,C12148,68,male
9751,C12198,41,female
9801,C12248,67,male
9851,C12298,55,male
9901,C12348,47,male
9951,C12398,60,male
10001,C12448,74,male
10051,C12498,53,female
10101,C12548,59,male
10151,C12598,70,male
10201,C12648,69,female
10251,C12698,65,male
10301,C12748,31,female
10351,C12798,60,female
10401,C12848,35,male
